17.04.2017,Ostermontag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
31.05.2018,Fronleichnam,RP|SN|BW|TH|SL|NW|BY|HE
01.05.2020,Maifeiertag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
15.08.2018,Mariä Himmelfahrt,SL|BY
30.05.2019,Christi Himmelfahrt,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
03.10.2017,Tag der Deutschen Einheit,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
21.11.2018,Buß- und Bettag,SN
21.05.2020,Christi Himmelfahrt,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
22.11.2017,Buß- und Bettag,SN
25.12.2020,1. Weihnachtstag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
06.01.2019,Heilige Drei Könige,ST|BW|BY
06.01.2017,Heilige Drei Könige,ST|BW|BY
01.01.2019,Neujahr,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
14.04.2017,Karfreitag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
13.04.2020,Ostermontag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
26.12.2020,2. Weihnachtstag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
30.03.2018,Karfreitag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
01.01.2017,Neujahr,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
25.12.2017,1. Weihnachtstag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
03.10.2019,Tag der Deutschen Einheit,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
05.06.2017,Pfingstmontag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
18.11.2020,Buß- und Bettag,SN
21.05.2018,Pfingstmontag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
19.04.2019,Karfreitag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
01.11.2019,Allerheiligen,RP|BW|SL|NW|BY
31.10.2020,Reformationstag,BB|MV|ST|SN|TH
03.10.2020,Tag der Deutschen Einheit,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
03.10.2018,Tag der Deutschen Einheit,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
01.05.2019,Maifeiertag,BE|RP|BB|MV|SH|ST|SN|HH|BW|NI|TH|SL|HB|NW|BY|HE
